gid,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,htbf,timeofgame,attendance,fieldcond,precip,sky,temp,winddir,windspeed,oscorer,forfeit,suspend,umphome,ump1b,ump2b,ump3b,umplf,umprf,wp,lp,save,gametype,vruns,hruns,wteam,lteam,line,batteries,lineups,box,pbp,season
OAK201104030,SEA,OAK,OAK01,20110403,0,1:08PM,day,,,true,,164,22292,unknown,unknown,sunny,62,ltor,7,ducam701,,,emmep901,drakr901,darlg901,drecb901,,,gonzg003,fistd001,,regular,1,7,OAK,SEA,y,both,y,y,y,2011
PHI201104030,HOU,PHI,PHI13,20110403,0,1:37PM,day,,,false,,166,45562,unknown,unknown,cloudy,54,ltor,16,dunnj701,,,wendh902,knigb901,laynj901,davib902,,,oswar001,norrb001,,regular,3,7,PHI,HOU,y,both,y,y,y,2011
SLN201104030,SDN,SLN,STL10,20110403,0,1:17PM,day,,,false,,123,36414,unknown,unknown,cloudy,75,rtol,27,durbj701,,,carlm901,timmt901,kellj901,coope901,,,garcj004,mosed001,,regular,0,2,SLN,SDN,y,both,y,y,y,2011
TBA201104030,BAL,TBA,STP01,20110403,0,1:42PM,day,,,true,,162,17408,unknown,unknown,dome,72,ltor,0,fergj701,,,diazl901,barrs901,hirsj901,bellw901,,,britz001,daviw001,,regular,5,1,BAL,TBA,y,both,y,y,y,2011
TEX201104030,BOS,TEX,ARL02,20110403,0,1:09PM,day,,,true,,161,46326,unknown,unknown,cloudy,79,rtol,29,wells701,,,rungb901,hudsm901,mcclt901,barrt901,,,harrm001,buchc001,,regular,1,5,TEX,BOS,y,both,y,y,y,2011
TOR201104030,MIN,TOR,TOR02,20110403,0,1:07PM,day,,,true,,178,35505,dry,none,dome,68,unknown,0,hobbd701,,,schrp901,fairc901,westj901,herna901,,,blacn001,cecib001,nathj001,regular,4,3,MIN,TOR,y,both,y,y,y,2011
WAS201104030,ATL,WAS,WAS11,20110403,0,1:36PM,day,,,false,,167,22210,unknown,unknown,cloudy,53,ltor,12,vincd701,,,dimum901,fleta901,welkt901,reynj901,,,hudst001,zimmj003,,regular,11,2,ATL,WAS,y,both,y,y,y,2011
BAL201104040,DET,BAL,BAL12,20110404,0,3:07PM,day,,,true,,157,46593,unknown,unknown,sunny,76,tocf,4,hennj701,,,cousd901,joycj901,kulpr901,wolfj901,,,arrij001,porcr001,,regular,1,5,BAL,DET,y,both,y,y,y,2011
CHN201104040,ARI,CHN,CHI11,20110404,0,1:21PM,day,,,false,,169,26292,unknown,unknown,unknown,47,ltor,15,frisd701,,,timmt901,kellj901,coope901,carlm901,,,wellr001,saunj001,marmc001,regular,1,4,CHN,ARI,y,both,y,y,y,2011
MIL201104040,ATL,MIL,MIL06,20110404,0,1:11PM,day,,,false,,169,46017,dry,none,dome,66,unknown,0,odrit701,,,hoyej901,porta901,millb901,cuzzp901,,,moylp001,saitt001,kimbc001,regular,2,1,ATL,MIL,y,both,y,y,y,2011
NYA201104040,MIN,NYA,NYC21,20110404,0,7:10PM,night,,,true,,158,40311,unknown,unknown,unknown,57,fromrf,5,karph701,,,belld901,gormb901,vanol901,randt901,,,novai001,bakes002,rivem002,regular,3,4,NYA,MIN,y,both,y,y,y,2011
SLN201104040,PIT,SLN,STL10,20110404,0,7:15PM,night,,,false,,173,32007,unknown,unknown,unknown,47,ltor,15,muelg701,,,demud901,danlk901,nauep901,eddid901,,,mortc002,lohsk001,hanrj001,regular,4,3,PIT,SLN,y,both,y,y,y,2011
TEX201104040,SEA,TEX,ARL02,20110404,0,7:07PM,night,,,true,,168,37618,unknown,unknown,sunny,64,tocf,7,schid701,,,rapue901,onorb901,marqa901,hicke901,,,holld003,bedae001,felin001,regular,4,6,TEX,SEA,y,both,y,y,y,2011
CHN201104050,ARI,CHN,CHI11,20110405,0,1:22PM,day,,,false,,197,27039,unknown,unknown,cloudy,48,ltor,12,frisd701,,,kellj901,coope901,carlm901,timmt901,,,russj003,demes001,marss002,regular,5,6,CHN,ARI,y,both,y,y,y,2011
CIN201104050,HOU,CIN,CIN09,20110405,0,7:10PM,night,,,false,,158,11821,unknown,unknown,cloudy,52,unknown,16,camem701,,,fleta901,welkt901,reynj901,dimum901,,,leakm001,happj001,,regular,2,8,CIN,HOU,y,both,y,y,y,2011
CLE201104050,BOS,CLE,CLE08,20110405,0,7:05PM,night,,,true,,168,9025,unknown,unknown,sunny,42,ltor,13,maveb701,,,iassd901,scotd901,mealj901,buckc901,,,tomlj001,beckj002,perec002,regular,1,3,CLE,BOS,y,both,y,y,y,2011
COL201104050,LAN,COL,DEN02,20110405,0,6:41PM,night,,,false,,139,24693,unknown,unknown,sunny,71,ltor,14,ringt701,,,drakr901,darlg901,drecb901,emmep901,,,chacj001,kersc001,streh001,regular,0,3,COL,LAN,y,both,y,y,y,2011
FLO201104050,WAS,FLO,MIA01,20110405,0,7:10PM,night,,,false,,210,10482,unknown,unknown,cloudy,74,tocf,6,jernr701,,,welkb901,tscht901,nelsj901,reybd901,,,mujie001,stord001,,regular,2,3,FLO,WAS,y,both,y,y,y,2011
KCA201104050,CHA,KCA,KAN06,20110405,0,7:10PM,night,,,true,,212,12641,unknown,unknown,sunny,70,torf,19,boycd701,,,knigb901,laynj901,davib902,wendh902,,,jeffj001,penat003,,regular,6,7,KCA,CHA,y,both,y,y,y,2011
MIL201104050,ATL,MIL,MIL06,20110405,0,7:09PM,night,,,false,,141,24117,dry,none,dome,65,unknown,0,odrit701,,,porta901,millb901,cuzzp901,hoyej901,,,gally001,lowed001,,regular,0,1,MIL,ATL,y,both,y,y,y,2011
NYA201104050,MIN,NYA,NYC21,20110405,0,7:07PM,night,,,true,,197,40267,unknown,unknown,unknown,45,unknown,17,karph701,,,gormb901,vanol901,randt901,belld901,,,cappm001,logab001,nathj001,regular,5,4,MIN,NYA,y,both,y,y,y,2011
PHI201104050,NYN,PHI,PHI13,20110405,0,7:06PM,night,,,false,,176,45365,unknown,unknown,unknown,49,ltor,17,macom701,,,guccc901,wintm901,everm901,estam901,,,younc003,hamec001,,regular,7,1,NYN,PHI,y,both,y,y,y,2011
SDN201104050,SFN,SDN,SAN02,20110405,0,3:37PM,day,,,false,,156,43146,unknown,unknown,cloudy,69,ltor,9,zaveb701,,,hudsm901,mcclt901,barrt901,rungb901,,,haraa001,bumgm001,bellh001,regular,1,3,SDN,SFN,y,both,y,y,y,2011
SLN201104050,PIT,SLN,STL10,20110405,0,7:14PM,night,,,false,,171,33666,unknown,unknown,sunny,64,tocf,7,muelg701,,,danlk901,nauep901,eddid901,demud901,,,batim001,olsog003,franr001,regular,2,3,SLN,PIT,y,both,y,y,y,2011
TBA201104050,ANA,TBA,STP01,20110405,0,6:40PM,night,,,true,,166,13173,unknown,unknown,dome,72,unknown,0,mathb701,,,ticht901,davig901,holbs901,gibsg901,,,weavj003,niemj001,waldj001,regular,5,3,ANA,TBA,y,both,y,y,y,2011
TEX201104050,SEA,TEX,ARL02,20110405,0,7:06PM,night,,,true,,156,30953,unknown,unknown,sunny,73,fromrf,12,ruddw701,,,onorb901,marqa901,hicke901,rapue901,,,ogana001,pinem001,felin001,regular,2,3,TEX,SEA,y,both,y,y,y,2011
